DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,-0.000000,-0.000000,-0.000000,0.994295,-0.106667,-0.000000,0.106667,0.994295
3.280840,3.280834,0.005468,0.262465,0.999994,0.003333,-0.000000,-0.003314,0.994289,-0.106666,-0.000356,0.106665,0.994295
6.561680,6.561631,0.021872,0.262453,0.999978,0.006666,-0.000000,-0.006628,0.994273,-0.106661,-0.000711,0.106659,0.994295
9.842520,9.842356,0.049212,0.262421,0.999950,0.009999,-0.000000,-0.009942,0.994247,-0.106648,-0.001066,0.106642,0.994297
13.123360,13.122971,0.087485,0.262357,0.999911,0.013332,-0.000000,-0.013256,0.994211,-0.106622,-0.001421,0.106613,0.994300
16.404199,16.403440,0.136691,0.262252,0.999861,0.016663,-0.000000,-0.016568,0.994166,-0.106580,-0.001776,0.106565,0.994304
19.685039,19.683727,0.196824,0.262097,0.999800,0.019993,-0.000000,-0.019879,0.994112,-0.106517,-0.002130,0.106495,0.994311
22.965879,22.963796,0.267881,0.261881,0.999728,0.023321,-0.000000,-0.023189,0.994050,-0.106429,-0.002482,0.106400,0.994320
26.246719,26.243610,0.349854,0.261594,0.999645,0.026647,-0.000000,-0.026496,0.993980,-0.106313,-0.002833,0.106275,0.994333
29.527559,29.523134,0.442733,0.261228,0.999551,0.029969,-0.000000,-0.029800,0.993902,-0.106165,-0.003182,0.106117,0.994349
32.808399,32.802331,0.546507,0.260774,0.999446,0.033288,-0.000000,-0.033100,0.993817,-0.105981,-0.003528,0.105922,0.994368
36.089239,36.081165,0.661161,0.260223,0.999330,0.036601,-0.000000,-0.036396,0.993726,-0.105758,-0.003871,0.105687,0.994392
39.370079,39.359601,0.786679,0.259567,0.999203,0.039909,-0.000000,-0.039686,0.993628,-0.105492,-0.004210,0.105408,0.994420
