dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
3.280840,3.280839,0.001640,0.999999,0.001000
6.561680,6.561675,0.006562,0.999998,0.002000
9.842520,9.842505,0.014764,0.999995,0.003000
13.123360,13.123325,0.026249,0.999992,0.004001
16.404199,16.404131,0.041018,0.999987,0.005002
19.685039,19.684921,0.059074,0.999982,0.006005
22.965879,22.965691,0.080422,0.999975,0.007009
26.246719,26.246439,0.105068,0.999968,0.008016
29.527559,29.527159,0.133021,0.999959,0.009025
32.808399,32.807850,0.164290,0.999950,0.010038
36.089239,36.088507,0.198890,0.999939,0.011055
39.370079,39.369128,0.236836,0.999927,0.012078
42.650919,42.649707,0.278147,0.999914,0.013107
45.931759,45.930242,0.322847,0.999900,0.014143
49.212598,49.210729,0.370960,0.999885,0.015188
52.493438,52.491164,0.422516,0.999868,0.016243
55.774278,55.771542,0.477550,0.999850,0.017308
59.055118,59.051859,0.536098,0.999831,0.018385
62.335958,62.332111,0.598202,0.999810,0.019476
65.616798,65.612293,0.663908,0.999788,0.020581
68.897638,68.892399,0.733267,0.999764,0.021703
72.178478,72.172425,0.806333,0.999739,0.022842
75.459318,75.452365,0.883168,0.999712,0.024000
78.740157,78.732213,0.963834,0.999683,0.025178
82.020997,82.011963,1.048402,0.999652,0.026378
85.301837,85.291607,1.136945,0.999619,0.027602
88.582677,88.571140,1.229542,0.999584,0.028850
91.863517,91.850554,1.326277,0.999546,0.030124
95.144357,95.129839,1.427238,0.999506,0.031426
98.425197,98.408989,1.532518,0.999463,0.032757
101.706037,101.687995,1.642214,0.999418,0.034119
104.986877,104.966846,1.756430,0.999369,0.035512
108.267717,108.245532,1.875271,0.999318,0.036939
111.548556,111.524043,1.998848,0.999262,0.038400
114.829396,114.802368,2.127277,0.999204,0.039897
118.110236,118.080495,2.260677,0.999141,0.041430
121.391076,121.358410,2.399171,0.999075,0.043002
124.671916,124.636100,2.542886,0.999004,0.044613
127.952756,127.913551,2.691951,0.998929,0.046264
131.233596,131.190749,2.846501,0.998849,0.047956
134.514436,134.467676,3.006671,0.998765,0.049690
137.795276,137.744317,3.172600,0.998675,0.051468
141.076115,141.020654,3.344432,0.998579,0.053288
144.356955,144.296668,3.522308,0.998478,0.055153
147.637795,147.572340,3.706376,0.998371,0.057062
150.918635,150.847649,3.896783,0.998257,0.059017
154.199475,154.122575,4.093679,0.998137,0.061018
157.480315,157.397095,4.297212,0.998009,0.063064
160.761155,160.671186,4.507534,0.997875,0.065156
164.041995,163.944823,4.724797,0.997733,0.067295
167.322835,167.217982,4.949153,0.997583,0.069480
170.603675,170.490637,5.180752,0.997425,0.071711
173.884514,173.762759,5.419747,0.997259,0.073988
177.165354,177.034322,5.666287,0.997084,0.076311
180.446194,180.305296,5.920522,0.996900,0.078679
183.727034,183.575651,6.182601,0.996707,0.081092
187.007874,186.845355,6.452669,0.996504,0.083549
190.288714,190.114378,6.730872,0.996291,0.086050
193.569554,193.382685,7.017352,0.996068,0.088595
196.850394,196.650244,7.312248,0.995834,0.091181
200.131234,199.917019,7.615698,0.995590,0.093809
203.412073,203.182977,7.927837,0.995335,0.096477
206.692913,206.448078,8.248796,0.995069,0.099185
209.973753,209.712288,8.578702,0.994791,0.101931
213.254593,212.975568,8.917678,0.994502,0.104715
216.535433,216.237881,9.265847,0.994201,0.107534
219.816273,219.499186,9.623322,0.993889,0.110388
223.097113,222.759446,9.990217,0.993564,0.113276
226.377953,226.018619,10.366639,0.993226,0.116196
229.658793,229.276665,10.752690,0.992877,0.119146
232.939633,232.533544,11.148470,0.992515,0.122126
236.220472,235.789215,11.554071,0.992140,0.125133
239.501312,239.043635,11.969582,0.991753,0.128167
242.782152,242.296764,12.395089,0.991353,0.131226
246.062992,245.548559,12.830668,0.990940,0.134307
249.343832,248.798979,13.276395,0.990514,0.137411
252.624672,252.047981,13.732339,0.990076,0.140535
255.905512,255.295524,14.198563,0.989624,0.143678
259.186352,258.541566,14.675128,0.989161,0.146838
262.467192,261.786065,15.162086,0.988684,0.150014
265.748031,265.028979,15.659489,0.988194,0.153205
269.028871,268.270267,16.167380,0.987693,0.156408
272.309711,271.509887,16.685801,0.987178,0.159623
275.590551,274.747799,17.214786,0.986651,0.162848
278.871391,277.983962,17.754367,0.986112,0.166082
282.152231,281.218336,18.304572,0.985560,0.169324
285.433071,284.450881,18.865424,0.984997,0.172572
288.713911,287.681557,19.436942,0.984421,0.175826
291.994751,290.910325,20.019143,0.983834,0.179084
295.275591,294.137147,20.612038,0.983235,0.182345
298.556430,297.361983,21.215637,0.982624,0.185609
301.837270,300.584796,21.829946,0.982001,0.188874
305.118110,303.805548,22.454970,0.981367,0.192140
308.398950,307.024203,23.090709,0.980722,0.195406
311.679790,310.240723,23.737162,0.980066,0.198672
314.960630,313.455071,24.394327,0.979399,0.201936
318.241470,316.667212,25.062200,0.978720,0.205199
321.522310,319.877109,25.740775,0.978031,0.208460
324.803150,323.084726,26.430046,0.977331,0.211719
328.083990,326.290027,27.130004,0.976619,0.214975
