DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280833,3.280827,-0.005468,0.262402,0.999994,-0.003334,0.000000,0.003315,0.994292,-0.106640,0.000355,0.106640,0.994298
6.561667,6.561618,-0.021870,0.262208,0.999978,-0.006666,0.000000,0.006628,0.994284,-0.106562,0.000710,0.106559,0.994306
9.842500,9.842336,-0.049199,0.261884,0.999950,-0.009996,0.000000,0.009939,0.994270,-0.106431,0.001064,0.106426,0.994320
13.123333,13.122945,-0.087447,0.261432,0.999911,-0.013322,0.000000,0.013247,0.994251,-0.106248,0.001415,0.106238,0.994340
16.404167,16.403409,-0.136600,0.260851,0.999861,-0.016644,0.000000,0.016550,0.994227,-0.106013,0.001764,0.105998,0.994365
19.685000,19.683691,-0.196640,0.260142,0.999801,-0.019960,0.000000,0.019848,0.994197,-0.105726,0.002110,0.105704,0.994395
22.965833,22.963756,-0.267545,0.259306,0.999729,-0.023268,0.000000,0.023139,0.994162,-0.105387,0.002452,0.105359,0.994431
26.246667,26.243570,-0.349292,0.258344,0.999647,-0.026569,0.000000,0.026422,0.994121,-0.104997,0.002789,0.104960,0.994473
29.527500,29.523096,-0.441850,0.257256,0.999554,-0.029860,0.000000,0.029696,0.994075,-0.104557,0.003122,0.104510,0.994519
32.808333,32.802300,-0.545187,0.256044,0.999451,-0.033140,0.000000,0.032960,0.994024,-0.104066,0.003448,0.104009,0.994570
36.089167,36.081148,-0.659266,0.254708,0.999337,-0.036409,0.000000,0.036213,0.993967,-0.103525,0.003769,0.103457,0.994627
39.370000,39.359606,-0.784048,0.253251,0.999213,-0.039665,0.000000,0.039454,0.993905,-0.102935,0.004082,0.102854,0.994688
42.650833,42.637641,-0.919489,0.251673,0.999079,-0.042907,0.000000,0.042682,0.993838,-0.102296,0.004389,0.102202,0.994754
45.931667,45.915220,-1.065541,0.249977,0.998935,-0.046134,0.000000,0.045895,0.993765,-0.101609,0.004687,0.101501,0.994824
49.212500,49.192312,-1.222153,0.248163,0.998782,-0.049345,0.000000,0.049093,0.993687,-0.100874,0.004977,0.100751,0.994899
52.493333,52.468885,-1.389271,0.246234,0.998619,-0.052539,0.000000,0.052275,0.993604,-0.100093,0.005258,0.099954,0.994978
55.774167,55.744908,-1.566837,0.244191,0.998447,-0.055715,0.000000,0.055440,0.993515,-0.099265,0.005530,0.099111,0.995061
