dist_along,X,Y,RefDir_dx,RefDir_dy
0.000000,0.000000,0.000000,1.000000,0.000000
1.000000,0.999998,-0.001667,0.999994,-0.003333
2.000000,1.999985,-0.006667,0.999978,-0.006667
3.000000,2.999950,-0.015000,0.999950,-0.010000
4.000000,3.999881,-0.026666,0.999911,-0.013333
5.000000,4.999769,-0.041666,0.999861,-0.016666
6.000000,5.999600,-0.059998,0.999800,-0.019999
7.000000,6.999365,-0.081663,0.999728,-0.023331
8.000000,7.999052,-0.106660,0.999644,-0.026664
9.000000,8.998650,-0.134990,0.999550,-0.029996
10.000000,9.998148,-0.166651,0.999444,-0.033327
11.000000,10.997535,-0.201644,0.999328,-0.036658
12.000000,11.996800,-0.239968,0.999200,-0.039989
13.000000,12.995932,-0.281623,0.999061,-0.043320
14.000000,13.994919,-0.326607,0.998911,-0.046650
15.000000,14.993751,-0.374922,0.998750,-0.049979
16.000000,15.992416,-0.426566,0.998578,-0.053308
17.000000,16.990903,-0.481538,0.998395,-0.056636
18.000000,17.989202,-0.539838,0.998201,-0.059964
19.000000,18.987301,-0.601466,0.997995,-0.063291
20.000000,19.985188,-0.666420,0.997779,-0.066617
21.000000,20.982854,-0.734700,0.997551,-0.069943
22.000000,21.980287,-0.806305,0.997312,-0.073268
23.000000,22.977475,-0.881235,0.997063,-0.076592
24.000000,23.974408,-0.959488,0.996802,-0.079915
25.000000,24.971075,-1.041064,0.996530,-0.083237
26.000000,25.967464,-1.125962,0.996247,-0.086558
27.000000,26.963565,-1.214180,0.995953,-0.089879
28.000000,27.959366,-1.305718,0.995648,-0.093198
29.000000,28.954856,-1.400576,0.995331,-0.096516
30.000000,29.950025,-1.498750,0.995004,-0.099833
31.000000,30.944861,-1.600242,0.994666,-0.103150
32.000000,31.939353,-1.705049,0.994317,-0.106465
33.000000,32.933490,-1.813171,0.993956,-0.109778
34.000000,33.927262,-1.924605,0.993585,-0.113091
35.000000,34.920656,-2.039352,0.993202,-0.116402
36.000000,35.913662,-2.157409,0.992809,-0.119712
37.000000,36.906269,-2.278776,0.992404,-0.123021
38.000000,37.898467,-2.403451,0.991988,-0.126328
39.000000,38.890243,-2.531432,0.991562,-0.129634
40.000000,39.881587,-2.662718,0.991124,-0.132939
41.000000,40.872488,-2.797309,0.990676,-0.136242
42.000000,41.862934,-2.935201,0.990216,-0.139543
43.000000,42.852916,-3.076394,0.989745,-0.142843
44.000000,43.842421,-3.220887,0.989264,-0.146141
45.000000,44.831440,-3.368677,0.988771,-0.149438
46.000000,45.819960,-3.519762,0.988267,-0.152733
47.000000,46.807971,-3.674142,0.987753,-0.156027
48.000000,47.795462,-3.831815,0.987227,-0.159318
49.000000,48.782422,-3.992778,0.986691,-0.162608
50.000000,49.768840,-4.157031,0.986143,-0.165896
51.000000,50.754705,-4.324570,0.985585,-0.169182
52.000000,51.740006,-4.495395,0.985015,-0.172467
53.000000,52.724732,-4.669503,0.984435,-0.175749
54.000000,53.708872,-4.846892,0.983844,-0.179030
55.000000,54.692416,-5.027561,0.983241,-0.182308
56.000000,55.675351,-5.211508,0.982628,-0.185585
57.000000,56.657668,-5.398729,0.982004,-0.188859
58.000000,57.639356,-5.589225,0.981369,-0.192131
59.000000,58.620403,-5.782991,0.980723,-0.195401
60.000000,59.600799,-5.980027,0.980067,-0.198669
61.000000,60.580533,-6.180329,0.979399,-0.201935
62.000000,61.559593,-6.383896,0.978720,-0.205199
63.000000,62.537970,-6.590726,0.978031,-0.208460
64.000000,63.515652,-6.800815,0.977331,-0.211719
65.000000,64.492628,-7.014162,0.976619,-0.214975
66.000000,65.468887,-7.230765,0.975897,-0.218230
67.000000,66.444419,-7.450621,0.975165,-0.221481
68.000000,67.419213,-7.673727,0.974421,-0.224731
69.000000,68.393257,-7.900081,0.973666,-0.227978
70.000000,69.366542,-8.129681,0.972901,-0.231222
71.000000,70.339056,-8.362524,0.972125,-0.234464
72.000000,71.310788,-8.598608,0.971338,-0.237703
73.000000,72.281728,-8.837929,0.970540,-0.240939
74.000000,73.251865,-9.080485,0.969732,-0.244173
75.000000,74.221188,-9.326273,0.968912,-0.247404
76.000000,75.189686,-9.575292,0.968082,-0.250632
77.000000,76.157349,-9.827537,0.967242,-0.253858
78.000000,77.124166,-10.083007,0.966390,-0.257081
79.000000,78.090125,-10.341697,0.965528,-0.260300
80.000000,79.055217,-10.603606,0.964655,-0.263517
81.000000,80.019431,-10.868731,0.963771,-0.266731
82.000000,80.982756,-11.137068,0.962876,-0.269943
83.000000,81.945180,-11.408615,0.961971,-0.273151
84.000000,82.906695,-11.683369,0.961055,-0.276356
85.000000,83.867288,-11.961325,0.960129,-0.279558
86.000000,84.826949,-12.242483,0.959192,-0.282756
87.000000,85.785668,-12.526837,0.958244,-0.285952
88.000000,86.743433,-12.814386,0.957285,-0.289145
89.000000,87.700235,-13.105126,0.956316,-0.292334
90.000000,88.656062,-13.399053,0.955336,-0.295520
91.000000,89.610904,-13.696165,0.954346,-0.298703
92.000000,90.564751,-13.996458,0.953345,-0.301883
93.000000,91.517591,-14.299929,0.952334,-0.305059
94.000000,92.469414,-14.606574,0.951311,-0.308231
95.000000,93.420210,-14.916391,0.950279,-0.311401
96.000000,94.369968,-15.229375,0.949235,-0.314567
97.000000,95.318678,-15.545523,0.948182,-0.317729
98.000000,96.266328,-15.864831,0.947117,-0.320888
99.000000,97.212909,-16.187297,0.946042,-0.324043
100.000000,98.158409,-16.512916,0.944957,-0.327195
