DistAlong,X,Y,Z,RefDir_dx,RefDir_dy,RefDir_dz,Y_dx,Y_dy,Y_dz,Axis_dx,Axis_dy,Axis_dz
0.000000,0.000000,0.000000,0.262467,1.000000,0.000000,0.000000,0.000000,0.994295,-0.106667,0.000000,0.106667,0.994295
3.280840,3.280834,0.005468,0.262389,0.999995,0.003286,0.000000,-0.003267,0.994293,-0.106635,-0.000355,0.106634,0.994298
6.561680,6.561631,0.021869,0.262156,0.999978,0.006571,0.000000,-0.006533,0.994287,-0.106541,-0.000710,0.106538,0.994308
9.842520,9.842356,0.049197,0.261773,0.999951,0.009854,0.000000,-0.009798,0.994277,-0.106385,-0.001063,0.106380,0.994325
13.123360,13.122971,0.087440,0.261241,0.999914,0.013134,0.000000,-0.013060,0.994262,-0.106170,-0.001414,0.106161,0.994348
16.404199,16.403442,0.136581,0.260564,0.999865,0.016409,0.000000,-0.016317,0.994243,-0.105896,-0.001762,0.105882,0.994377
19.685039,19.683731,0.196602,0.259746,0.999806,0.019679,0.000000,-0.019569,0.994220,-0.105565,-0.002106,0.105544,0.994412
22.965879,22.963804,0.267477,0.258789,0.999737,0.022942,0.000000,-0.022814,0.994192,-0.105177,-0.002446,0.105149,0.994453
26.246719,26.243625,0.349177,0.257697,0.999657,0.026196,0.000000,-0.026052,0.994159,-0.104735,-0.002781,0.104698,0.994500
29.527559,29.523159,0.441670,0.256472,0.999567,0.029440,0.000000,-0.029280,0.994121,-0.104239,-0.003110,0.104193,0.994552
32.808399,32.802372,0.544919,0.255118,0.999466,0.032674,0.000000,-0.032498,0.994079,-0.103691,-0.003433,0.103634,0.994610
36.089239,36.081231,0.658884,0.253638,0.999356,0.035896,0.000000,-0.035704,0.994031,-0.103092,-0.003749,0.103023,0.994672
39.370079,39.359701,0.783521,0.252036,0.999235,0.039104,0.000000,-0.038898,0.993978,-0.102442,-0.004058,0.102362,0.994739
42.650919,42.637750,0.918780,0.250313,0.999105,0.042299,0.000000,-0.042079,0.993920,-0.101745,-0.004359,0.101651,0.994811
45.931759,45.915346,1.064611,0.248475,0.998965,0.045478,0.000000,-0.045245,0.993857,-0.101000,-0.004652,0.100893,0.994886
49.212598,49.192457,1.220959,0.246522,0.998816,0.048640,0.000000,-0.048396,0.993789,-0.100209,-0.004935,0.100088,0.994966
52.493438,52.469052,1.387764,0.244460,0.998658,0.051786,0.000000,-0.051529,0.993715,-0.099374,-0.005210,0.099237,0.995050
55.774278,55.745102,1.564967,0.242290,0.998491,0.054913,0.000000,-0.054646,0.993636,-0.098494,-0.005475,0.098342,0.995138
59.055118,59.020576,1.752500,0.240017,0.998315,0.058021,0.000000,-0.057744,0.993552,-0.097573,-0.005730,0.097405,0.995228
62.335958,62.295447,1.950297,0.237643,0.998131,0.061108,0.000000,-0.060822,0.993462,-0.096611,-0.005975,0.096426,0.995322
65.616798,65.569686,2.158286,0.235171,0.997939,0.064175,0.000000,-0.063881,0.993367,-0.095609,-0.006209,0.095407,0.995419
68.897638,68.843267,2.376393,0.232604,0.997738,0.067219,0.000000,-0.066918,0.993267,-0.094569,-0.006432,0.094350,0.995518
72.178478,72.116163,2.604542,0.229946,0.997530,0.070241,0.000000,-0.069933,0.993161,-0.093492,-0.006644,0.093255,0.995620
75.459318,75.388350,2.842653,0.227201,0.997314,0.073238,0.000000,-0.072925,0.993050,-0.092378,-0.006844,0.092125,0.995724
78.740157,78.659803,3.090645,0.224370,0.997092,0.076212,0.000000,-0.075894,0.992934,-0.091231,-0.007033,0.090959,0.995830
82.020997,81.930498,3.348431,0.221457,0.996862,0.079160,0.000000,-0.078839,0.992812,-0.090049,-0.007209,0.089760,0.995937
85.301837,85.200414,3.615927,0.218465,0.996626,0.082083,0.000000,-0.081758,0.992685,-0.088836,-0.007374,0.088530,0.996046
88.582677,88.469528,3.893041,0.215398,0.996383,0.084979,0.000000,-0.084652,0.992553,-0.087592,-0.007526,0.087268,0.996156
91.863517,91.737821,4.179684,0.212258,0.996134,0.087847,0.000000,-0.087519,0.992416,-0.086319,-0.007666,0.085978,0.996268
95.144357,95.005273,4.475760,0.209049,0.995879,0.090688,0.000000,-0.090360,0.992274,-0.085017,-0.007794,0.084659,0.996380
98.425197,98.271865,4.781175,0.205774,0.995619,0.093500,0.000000,-0.093172,0.992127,-0.083688,-0.007909,0.083314,0.996492
101.706037,101.537580,5.095831,0.202436,0.995354,0.096283,0.000000,-0.095957,0.991975,-0.082334,-0.008011,0.081943,0.996605
104.986877,104.802402,5.419628,0.199038,0.995084,0.099037,0.000000,-0.098712,0.991818,-0.080955,-0.008102,0.080548,0.996718
108.267717,108.066314,5.752465,0.195584,0.994809,0.101761,0.000000,-0.101438,0.991656,-0.079553,-0.008179,0.079131,0.996831
111.548556,111.329302,6.094241,0.192076,0.994530,0.104453,0.000000,-0.104134,0.991490,-0.078129,-0.008244,0.077692,0.996943
114.829396,114.591353,6.444849,0.188517,0.994247,0.107115,0.000000,-0.106800,0.991319,-0.076684,-0.008297,0.076234,0.997055
118.110236,117.852455,6.804185,0.184911,0.993960,0.109746,0.000000,-0.109435,0.991144,-0.075220,-0.008338,0.074757,0.997167
121.391076,121.112595,7.172142,0.181261,0.993669,0.112344,0.000000,-0.112038,0.990964,-0.073738,-0.008366,0.073262,0.997278
124.671916,124.371762,7.548611,0.177571,0.993376,0.114911,0.000000,-0.114610,0.990780,-0.072239,-0.008382,0.071751,0.997387
127.952756,127.629949,7.933483,0.173842,0.993079,0.117444,0.000000,-0.117150,0.990593,-0.070725,-0.008386,0.070226,0.997496
131.233596,130.887145,8.326646,0.170079,0.992781,0.119945,0.000000,-0.119658,0.990401,-0.069196,-0.008379,0.068687,0.997603
134.514436,134.143343,8.727991,0.166284,0.992479,0.122413,0.000000,-0.122132,0.990205,-0.067655,-0.008360,0.067136,0.997709
137.795276,137.398537,9.137404,0.162461,0.992176,0.124847,0.000000,-0.124574,0.990006,-0.066102,-0.008329,0.065575,0.997813
141.076115,140.652720,9.554772,0.158613,0.991871,0.127248,0.000000,-0.126983,0.989803,-0.064538,-0.008288,0.064004,0.997915
144.356955,143.905888,9.979982,0.154742,0.991564,0.129615,0.000000,-0.129358,0.989597,-0.062965,-0.008235,0.062425,0.998016
147.637795,147.158037,10.412919,0.150853,0.991257,0.131948,0.000000,-0.131699,0.989387,-0.061385,-0.008172,0.060839,0.998114
150.918635,150.409163,10.853469,0.146948,0.990948,0.134246,0.000000,-0.134006,0.989175,-0.059798,-0.008098,0.059247,0.998211
154.199475,153.659264,11.301515,0.143030,0.990639,0.136511,0.000000,-0.136280,0.988959,-0.058205,-0.008015,0.057651,0.998305
157.480315,156.908340,11.756943,0.139103,0.990329,0.138741,0.000000,-0.138519,0.988741,-0.056609,-0.007921,0.056052,0.998396
160.761155,160.156388,12.219637,0.135170,0.990019,0.140937,0.000000,-0.140724,0.988519,-0.055010,-0.007818,0.054452,0.998486
164.041995,163.403411,12.689481,0.131234,0.989708,0.143099,0.000000,-0.142894,0.988296,-0.053410,-0.007706,0.052851,0.998573
167.322835,166.649408,13.166359,0.127297,0.989399,0.145226,0.000000,-0.145031,0.988070,-0.051809,-0.007585,0.051251,0.998657
170.603675,169.894380,13.650155,0.123364,0.989089,0.147319,0.000000,-0.147133,0.987842,-0.050209,-0.007456,0.049653,0.998739
173.884514,173.138332,14.140754,0.119437,0.988780,0.149377,0.000000,-0.149201,0.987611,-0.048612,-0.007319,0.048058,0.998818
177.165354,176.381264,14.638040,0.115519,0.988472,0.151402,0.000000,-0.151234,0.987379,-0.047019,-0.007174,0.046469,0.998894
180.446194,179.623182,15.141899,0.111614,0.988165,0.153392,0.000000,-0.153234,0.987145,-0.045431,-0.007022,0.044885,0.998967
183.727034,182.864090,15.652215,0.107725,0.987860,0.155349,0.000000,-0.155199,0.986910,-0.043849,-0.006863,0.043308,0.999038
187.007874,186.103993,16.168875,0.103855,0.987555,0.157271,0.000000,-0.157131,0.986673,-0.042274,-0.006698,0.041740,0.999106
190.288714,189.342896,16.691766,0.100006,0.987253,0.159161,0.000000,-0.159029,0.986434,-0.040709,-0.006526,0.040182,0.999171
193.569554,192.580806,17.220773,0.096183,0.986952,0.161017,0.000000,-0.160893,0.986195,-0.039153,-0.006349,0.038635,0.999233
196.850394,195.817728,17.755787,0.092388,0.986653,0.162840,0.000000,-0.162724,0.985955,-0.037609,-0.006167,0.037100,0.999293
200.131234,199.053671,18.296695,0.088625,0.986355,0.164630,0.000000,-0.164523,0.985713,-0.036078,-0.005980,0.035579,0.999349
203.412073,202.288641,18.843388,0.084897,0.986060,0.166388,0.000000,-0.166288,0.985471,-0.034561,-0.005789,0.034073,0.999403
206.692913,205.522648,19.395757,0.081206,0.985768,0.168113,0.000000,-0.168021,0.985229,-0.033059,-0.005594,0.032582,0.999453
209.973753,208.755698,19.953694,0.077556,0.985477,0.169807,0.000000,-0.169722,0.984986,-0.031574,-0.005396,0.031109,0.999501
213.254593,211.987801,20.517092,0.073950,0.985189,0.171470,0.000000,-0.171392,0.984743,-0.030106,-0.005195,0.029655,0.999547
216.535433,215.218966,21.085847,0.070392,0.984904,0.173101,0.000000,-0.173030,0.984500,-0.028658,-0.004991,0.028220,0.999589
219.816273,218.449202,21.659854,0.066883,0.984621,0.174703,0.000000,-0.174638,0.984256,-0.027230,-0.004786,0.026806,0.999629
223.097113,221.678518,22.239011,0.063429,0.984341,0.176274,0.000000,-0.176215,0.984013,-0.025824,-0.004579,0.025415,0.999667
226.377953,224.906925,22.823218,0.060031,0.984064,0.177816,0.000000,-0.177762,0.983770,-0.024441,-0.004371,0.024047,0.999701
229.658793,228.134432,23.412376,0.056693,0.983789,0.179328,0.000000,-0.179281,0.983527,-0.023082,-0.004162,0.022704,0.999734
232.939633,231.361049,24.006387,0.053418,0.983518,0.180813,0.000000,-0.180770,0.983285,-0.021749,-0.003954,0.021386,0.999763
236.220472,234.586787,24.605157,0.050209,0.983249,0.182269,0.000000,-0.182231,0.983043,-0.020442,-0.003745,0.020096,0.999791
239.501312,237.811655,25.208592,0.047069,0.982983,0.183699,0.000000,-0.183665,0.982802,-0.019164,-0.003538,0.018835,0.999816
242.782152,241.035664,25.816601,0.044002,0.982719,0.185102,0.000000,-0.185072,0.982562,-0.017916,-0.003332,0.017603,0.999840
246.062992,244.258824,26.429095,0.041010,0.982459,0.186479,0.000000,-0.186453,0.982322,-0.016698,-0.003129,0.016402,0.999861
249.343832,247.481145,27.045986,0.038098,0.982202,0.187830,0.000000,-0.187808,0.982083,-0.015512,-0.002927,0.015233,0.999880
252.624672,250.702638,27.667191,0.035267,0.981947,0.189158,0.000000,-0.189138,0.981846,-0.014359,-0.002728,0.014098,0.999897
255.905512,253.923311,28.292627,0.032521,0.981695,0.190461,0.000000,-0.190444,0.981609,-0.013241,-0.002533,0.012997,0.999912
259.186352,257.143176,28.922214,0.029863,0.981445,0.191742,0.000000,-0.191727,0.981373,-0.012159,-0.002341,0.011932,0.999926
262.467192,260.362241,29.555876,0.027297,0.981199,0.193000,0.000000,-0.192988,0.981138,-0.011114,-0.002153,0.010904,0.999938
265.748031,263.580517,30.193538,0.024825,0.980955,0.194237,0.000000,-0.194227,0.980905,-0.010108,-0.001971,0.009914,0.999949
269.028871,266.798011,30.835128,0.022450,0.980713,0.195454,0.000000,-0.195445,0.980672,-0.009141,-0.001793,0.008964,0.999958
272.309711,270.014734,31.480578,0.020177,0.980474,0.196650,0.000000,-0.196644,0.980441,-0.008215,-0.001621,0.008054,0.999966
275.590551,273.230693,32.129821,0.018007,0.980237,0.197829,0.000000,-0.197823,0.980210,-0.007332,-0.001455,0.007186,0.999973
278.871391,276.445896,32.782794,0.015945,0.980002,0.198989,0.000000,-0.198985,0.979981,-0.006492,-0.001296,0.006362,0.999979
282.152231,279.660352,33.439439,0.013993,0.979769,0.200133,0.000000,-0.200129,0.979753,-0.005697,-0.001143,0.005581,0.999984
285.433071,282.874068,34.099698,0.012154,0.979538,0.201260,0.000000,-0.201258,0.979526,-0.004949,-0.000999,0.004847,0.999988
288.713911,286.087050,34.763517,0.010431,0.979308,0.202373,0.000000,-0.202371,0.979300,-0.004247,-0.000862,0.004159,0.999991
291.994751,289.299304,35.430847,0.008829,0.979081,0.203472,0.000000,-0.203471,0.979074,-0.003595,-0.000733,0.003519,0.999994
295.275591,292.510837,36.101642,0.007349,0.978854,0.204559,0.000000,-0.204558,0.978850,-0.002992,-0.000613,0.002929,0.999996
298.556430,295.721654,36.775858,0.005995,0.978629,0.205634,0.000000,-0.205633,0.978626,-0.002441,-0.000503,0.002389,0.999997
301.837270,298.931758,37.453455,0.004771,0.978405,0.206698,0.000000,-0.206697,0.978403,-0.001942,-0.000402,0.001900,0.999998
305.118110,302.141155,38.134399,0.003678,0.978181,0.207753,0.000000,-0.207752,0.978180,-0.001498,-0.000312,0.001465,0.999999
308.398950,305.349846,38.818658,0.002721,0.977959,0.208799,0.000000,-0.208799,0.977958,-0.001108,-0.000232,0.001084,0.999999
311.679790,308.557835,39.506202,0.001903,0.977736,0.209839,0.000000,-0.209839,0.977736,-0.000775,-0.000163,0.000758,1.000000
